DATA_DAT,SOR_CUST_NO,CUST_NO,GENR_AC_QUOT,TOT_AC_QUOT,CAN_AMT,CAN_RETURN_AMT
43000,78676367986663737,7955371022653289,58.4803547643,58.4803547643,0.0,0.0
43031,78676367986663737,7955371022653289,58.4803547643,58.4803547643,0.0,0.0
42880,78676367986663737,7955371022653289,58.4803547643,58.4803547643,0.0,0.0
42911,78676367986663737,7955371022653289,58.4803547643,58.4803547643,0.0,0.0
42939,78676367986663737,7955371022653289,58.4803547643,58.4803547643,0.0,0.0
42970,78676367986663737,7955371022653289,58.4803547643,58.4803547643,0.0,0.0
43123,63501767986667521,7973763710479399,43.088693800600005,43.088693800600005,0.0,0.0
43153,63501767986667521,7973763710479399,43.088693800600005,43.088693800600005,0.0,0.0
43184,63501767986667521,7973763710479399,43.088693800600005,43.088693800600005,0.0,0.0
43214,63501767986667521,7973763710479399,43.088693800600005,43.088693800600005,0.0,0.0
43245,63501767986667521,7973763710479399,43.088693800600005,43.088693800600005,0.0,0.0
43276,63501767986667521,7973763710479399,43.088693800600005,43.088693800600005,0.0,0.0
43000,76704267986666204,7950764521117988,25.1984209979,25.1984209979,0.0,0.0
43031,76704267986666204,7950764521117988,25.1984209979,25.1984209979,0.0,0.0
43061,76704267986666204,7950764521117988,25.1984209979,25.1984209979,0.0,0.0
43092,76704267986666204,7950764521117988,25.1984209979,25.1984209979,0.0,0.0
43123,76704267986666204,7950764521117988,25.1984209979,25.1984209979,0.0,0.0
42970,76704267986666204,7950764521117988,25.1984209979,25.1984209979,0.0,0.0
43000,73707767986660071,7954762290762452,68.3990378671,68.3990378671,0.0,0.0
43031,73707767986660071,7954762290762452,68.3990378671,68.3990378671,0.0,0.0
43000,73707767986660071,7954762290762452,73.68062997279999,73.68062997279999,0.0,0.0
43031,73707767986660071,7954762290762452,73.68062997279999,73.68062997279999,0.0,0.0
43000,73707767986660071,7954762290762452,54.28835233189999,54.28835233189999,0.0,0.0
43031,73707767986660071,7954762290762452,54.28835233189999,54.28835233189999,0.0,0.0
43000,73707767986660071,7954762290762452,35.755545458200004,35.755545458200004,0.0,0.0
42970,73707767986660071,7954762290762452,68.3990378671,68.3990378671,0.0,0.0
43031,73707767986660071,7954762290762452,35.755545458200004,35.755545458200004,0.0,0.0
42880,73707767986660071,7954762290762452,54.28835233189999,54.28835233189999,0.0,0.0
42911,73707767986660071,7954762290762452,54.28835233189999,54.28835233189999,0.0,0.0
42939,73707767986660071,7954762290762452,54.28835233189999,54.28835233189999,0.0,0.0
42970,73707767986660071,7954762290762452,54.28835233189999,54.28835233189999,0.0,0.0
42880,73707767986660071,7954762290762452,73.68062997279999,73.68062997279999,0.0,0.0
42911,73707767986660071,7954762290762452,73.68062997279999,73.68062997279999,0.0,0.0
42970,73707767986660071,7954762290762452,35.755545458200004,35.755545458200004,0.0,0.0
42939,73707767986660071,7954762290762452,73.68062997279999,73.68062997279999,0.0,0.0
42970,73707767986660071,7954762290762452,73.68062997279999,73.68062997279999,0.0,0.0
43061,167767986666796,7937666664107909,43.088693800600005,43.088693800600005,0.0,0.0
43061,167767986666796,7937666664107909,21.544346900300003,21.544346900300003,0.0,0.0
43092,167767986666796,7937666664107909,21.544346900300003,21.544346900300003,0.0,0.0
43092,167767986666796,7937666664107909,43.088693800600005,43.088693800600005,0.0,0.0
43123,167767986666796,7937666664107909,21.544346900300003,21.544346900300003,0.0,0.0
43123,167767986666796,7937666664107909,43.088693800600005,43.088693800600005,0.0,0.0
43061,167767986666796,7937666664107909,21.544346900300003,21.544346900300003,0.0,0.0
43092,167767986666796,7937666664107909,21.544346900300003,21.544346900300003,0.0,0.0
