DATA_DAT,CUST_NO,ORG_NO,CCY_CD,DAY_FA_BAL,YAVER_FA_BAL,DAY_AUM_BAL,YAVER_AUM_BAL,TOT_IVST_BAL,MAVER_TOT_IVST_BAL,SAVER_TOT_IVST_BAL,YAVER_TOT_IVST_BAL,FA_BAL_MAX,FA_BAL_MAX_DATE,AUM_BAL_MAX,AUM_BAL_MAX_DATE
42880,7955371022653289,887860636367,RKX,121.16042923200001,122.00647820100001,10018.82,10570.41,42.960482894399995,42.960482894399995,42.960482894399995,42.5824815741,121.970954297,42835.0,13142.06,42835.0
42880,7955371022653289,887866666666,RKX,121.53358597799999,122.719693061,12079.36,14574.96,42.960482894399995,42.960482894399995,42.960482894399995,42.5824815741,124.069811539,42868.0,25736.79,42868.0
42880,7955371022653289,887860766366,RKX,25.450149952199997,31.7600542692,2060.54,4004.55,0.0,0.0,0.0,0.0,47.135999632200004,42833.0,13090.86,42833.0
42880,7955371022653289,887860766666,RKX,25.450149952199997,31.7600542692,2060.54,4004.55,0.0,0.0,0.0,0.0,47.135999632200004,42833.0,13090.86,42833.0
42880,7955371022653289,887662616467,RKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42820.0,0.0,42820.0
42880,7955371022653289,887860766367,RKX,25.450149952199997,31.7600542692,2060.54,4004.55,0.0,0.0,0.0,0.0,47.135999632200004,42833.0,13090.86,42833.0
42880,7955371022653289,887860666666,RKX,121.53358597799999,122.719693061,12079.36,14574.96,42.960482894399995,42.960482894399995,42.960482894399995,42.5824815741,124.069811539,42868.0,25736.79,42868.0
42880,7955371022653289,887662616466,RKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42820.0,0.0,42820.0
42880,7955371022653289,887860636666,RKX,121.16042923200001,122.00647820100001,10018.82,10570.41,42.960482894399995,42.960482894399995,42.960482894399995,42.5824815741,121.970954297,42835.0,13142.06,42835.0
42880,7955371022653289,887860636366,RKX,121.16042923200001,122.00647820100001,10018.82,10570.41,42.960482894399995,42.960482894399995,42.960482894399995,42.5824815741,121.970954297,42835.0,13142.06,42835.0
42880,7955371022653289,887662616666,RKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42820.0,0.0,42820.0
42880,7955371022653289,887662666666,RKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42820.0,0.0,42820.0
42880,7955371022653289,888888888888,RKX,121.53358597799999,122.719693061,12079.36,14574.96,42.960482894399995,42.960482894399995,42.960482894399995,42.5824815741,124.069811539,42868.0,25736.79,42868.0
42880,7955371022653289,887666666666,RKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42820.0,0.0,42820.0
42911,7955371022653289,887860636666,RKX,121.032902283,121.89219896,10006.01,10604.69,42.960482894399995,42.960482894399995,42.960482894399995,42.7742996491,121.970954297,42835.0,13142.06,42835.0
42911,7955371022653289,887662616467,RKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42820.0,0.0,42820.0
42911,7955371022653289,887860636366,RKX,121.032902283,121.89219896,10006.01,10604.69,42.960482894399995,42.960482894399995,42.960482894399995,42.7742996491,121.970954297,42835.0,13142.06,42835.0
42911,7955371022653289,887860636367,RKX,121.032902283,121.89219896,10006.01,10604.69,42.960482894399995,42.960482894399995,42.960482894399995,42.7742996491,121.970954297,42835.0,13142.06,42835.0
42911,7955371022653289,887860766666,RKX,21.4737953683,29.7016048138,1237.76,3275.29,0.0,0.0,0.0,0.0,47.135999632200004,42833.0,13090.86,42833.0
42911,7955371022653289,887866666666,RKX,121.257803359,122.477236698,11243.77,13879.98,42.960482894399995,42.960482894399995,42.960482894399995,42.7742996491,124.069811539,42868.0,25736.79,42868.0
42911,7955371022653289,887860666666,RKX,121.257803359,122.477236698,11243.77,13879.98,42.960482894399995,42.960482894399995,42.960482894399995,42.7742996491,124.069811539,42868.0,25736.79,42868.0
42911,7955371022653289,887860766366,RKX,21.4737953683,29.7016048138,1237.76,3275.29,0.0,0.0,0.0,0.0,47.135999632200004,42833.0,13090.86,42833.0
42911,7955371022653289,887662616466,RKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42820.0,0.0,42820.0
